hhid,region,s04q01a,s04q02a,s04q02a_autre,s04q01b,s04q02b,s04q02b_autre,s04q01c,s04q02c,s04q02c_autre,s04q01d,s04q02d,s04q02d_autre,s04q01e,s04q02e,s04q02e_autre,s04q01f,s04q02f,s04q02f_autre,s04q01g,s04q02g,s04q02g_autre,s04q025__1,s04q025__2,s04q025__3,s04q025__4,s04q025__5,s04q06,s04q07,s04q08,s04q11a,s04q11b__1,s04q11b__2,s04q11b__3,s04q11b__4,s04q11b__5,s04q11b__6,s04q11b__7,s04q11b_aut,p0,hhweight_covid,domaine_residence
3150001,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,NON,AUGMENTATION DE PRIX ,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,3060.977783203125,Rural
3150006,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,3060.977783203125,Rural
3150007,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,1,0,0,0,,Pauvres,3208.011474609375,Rural
3150010,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,1,1,0,0,0,0,,Non Pauvres,3060.977783203125,Rural
3170008,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,1463.8499755859375,Rural
3170009,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,1396.7568359375,Rural
3170011,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,1463.8499755859375,Rural
3190002,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,1,0,0,,Non Pauvres,2514.9052734375,Rural
3210001,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,1572.8599853515625,Rural
3210006,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Pauvres,1572.8599853515625,Rural
3230002,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,2793.513671875,Rural
3230003,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,2793.513671875,Rural
3250002,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,3172.4208984375,Rural
3250005,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,3172.4208984375,Rural
3290003,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,2152.949462890625,Rural
3290006,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Pauvres,2152.949462890625,Rural
3300001,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,191.8509063720703,Autres_urbains
3300002,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,191.8509063720703,Autres_urbains
3300004,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,191.8509063720703,Autres_urbains
3300005,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,191.8509063720703,Autres_urbains
3300006,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,211.4449920654297,Autres_urbains
3300008,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,191.8509063720703,Autres_urbains
3300009,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,191.8509063720703,Autres_urbains
3300011,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,211.4449920654297,Autres_urbains
3300012,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,0,1,0,0,,Non Pauvres,191.8509063720703,Autres_urbains
3330004,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,1,0,0,0,,Non Pauvres,421.1726989746094,Autres_urbains
3330006,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,421.1726989746094,Autres_urbains
3330007,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,421.1726989746094,Autres_urbains
3330009,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,421.1726989746094,Autres_urbains
3330010,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,464.1878356933594,Autres_urbains
3350003,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350004,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350005,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350007,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350008,Sikasso,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350010,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3350012,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,356.7227783203125,Autres_urbains
3380001,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Pauvres,265.9581298828125,Autres_urbains
3380004,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,241.31246948242187,Autres_urbains
3380006,Sikasso,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,265.9581298828125,Autres_urbains
3380008,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Pauvres,265.9581298828125,Autres_urbains
3380009,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,265.9581298828125,Autres_urbains
3380012,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,241.31246948242187,Autres_urbains
3390003,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Non Pauvres,419.6738586425781,Autres_urbains
3390007,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Pauvres,462.535888671875,Autres_urbains
3390009,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,419.6738586425781,Autres_urbains
3390011,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Pauvres,462.535888671875,Autres_urbains
3410001,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,244.4832763671875,Autres_urbains
3410002,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,221.82762145996094,Autres_urbains
3410003,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,221.82762145996094,Autres_urbains
3410004,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,244.4832763671875,Autres_urbains
3410005,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,221.82762145996094,Autres_urbains
3410006,Sikasso,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,NON,AUTRES (specifier) ,consomme plus le poisson,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,221.82762145996094,Autres_urbains
3410007,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,244.4832763671875,Autres_urbains
3410012,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,221.82762145996094,Autres_urbains
3420001,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,1052.269287109375,Autres_urbains
3420003,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,954.758056640625,Autres_urbains
3420009,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,954.758056640625,Autres_urbains
3420011,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,1052.269287109375,Autres_urbains
3430002,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Pauvres,654.157958984375,Autres_urbains
3430004,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,593.53875732421875,Autres_urbains
3430005,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3430006,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3430007,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3430009,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3430010,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3430011,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,593.53875732421875,Autres_urbains
3440005,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,675.9747314453125,Autres_urbains
3440007,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,675.9747314453125,Autres_urbains
3440008,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,675.9747314453125,Autres_urbains
3440010,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,675.9747314453125,Autres_urbains
3440012,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,675.9747314453125,Autres_urbains
3460007,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,1681.8701171875,Rural
3460011,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,1,0,0,0,0,,Non Pauvres,1604.784423828125,Rural
3470001,Sikasso,NON,AUTRES (specifier) ,pauvreté,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Pauvres,396.4593505859375,Autres_urbains
3470003,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,1,0,0,,Pauvres,396.4593505859375,Autres_urbains
3470004,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,359.720458984375,Autres_urbains
3470005,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,359.720458984375,Autres_urbains
3470007,Sikasso,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,359.720458984375,Autres_urbains
3470011,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,359.720458984375,Autres_urbains
3470012,Sikasso,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,359.720458984375,Autres_urbains
3490001,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,384.89593505859375,Autres_urbains
3490002,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
3490003,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,Non,,,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
3490004,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Tous les enfants scolarisés sont revenus à l'école,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
3490006,Sikasso,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
3490007,Sikasso,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,Non,,,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
3490008,Sikasso,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Non Pauvres,349.2286071777344,Autres_urbains
