hhid,region,langue,s05q01,s05q02,s05q03,s05q03_autre,s05q04,s05q04_autre,s05q05,s05q06,s05q07,s05q07a,s04q7a_autre,s05q08,s05q08a,s05q09__0,s05q09__1,s05q09__2,s05q09__3,s05q09__4,s05q09__5,s05q09__6,s05q09__7,s05q09__8,s05q09__9,s05q09__10,s05q09__11,s05q09__12,s05q09__13,s05q09__14,s05q09__15,s05q09__16,s05q09__17,s05q09__18,s05q09__19,s05q09__20,s05q09__21,s05q09__22,s05q09__23,s05q09__24,s05q09__25,s05q09__26,s05q09__27,s05q09__28,s05q09__29,s05q09__30,s05q09__31,s05q09__32,s05q09__33,s05q09__34,s05q09__35,s05q09__36,s05q09__37,s05q09__38,s05q09__39,s05q09__40,s05q09__41,s05q09__42,s05q09__43,s05q09__44,s05q09__45,s05q09__46,s05q09__47,s05q09__48,s05q09__49,s05q09__50,s05q09__51,s05q09__52,s05q09__53,s05q09__54,s05q09__55,s05q09__56,s05q09__57,s05q09__58,s05q09__59,s05q10,s05q11,s05q12,s05q13,s05q13_autre,s05q14,s05q15,s05q16,s05q16_autre,s05q17,s05q18,s05q19,s05q20,s05q21,s05q22,s00q01,s00q04,p0,hhweight_covid,domaine_residence
2210004,Koulikoro,Bambara/Malinké,OUI,,,,,,Dans une entreprise familiale ou gérée par un membre du ménage,,,,,NON,OUI,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3034.230712890625,Rural
2210010,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3034.230712890625,Rural
2230005,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,2179.363037109375,Rural
2230010,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,OUI,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,2179.363037109375,Rural
2230011,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,AU MEME RYTHME,NON,,,Koulikoro,Rural,Non Pauvres,2179.363037109375,Rural
2230012,Koulikoro,Français,OUI,,,,,,Pour votre propre compte,,,,,NON,OUI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,2179.363037109375,Rural
2240003,Koulikoro,Bambara/Malinké,OUI,,,,,,Dans une entreprise familiale ou gérée par un membre du ménage,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Pauvres,5380.052734375,Rural
2240005,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE DE L'ETABLISSEMENT POUR CAUSE DE CORONAVIRUS,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2240007,Koulikoro,Bambara/Malinké,NON,OUI,COVID-19,,EDUCATION,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2240008,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2240009,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE SAISONNIERE,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2240010,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2240012,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3690.974853515625,Rural
2260003,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NE SAIT PAS,,,NON,,,Koulikoro,Rural,Non Pauvres,2524.2451171875,Rural
2260008,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Rural,Non Pauvres,2524.2451171875,Rural
2260011,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Pauvres,3679.39990234375,Rural
2280003,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Koulikoro,Rural,Non Pauvres,9032.9814453125,Rural
2280004,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Plus élevé que d'habitude,,,OUI,OUI,,,OUI,BAISSE,AU MEME RYTHME,NON,,,Koulikoro,Rural,Non Pauvres,9032.9814453125,Rural
2280006,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,9032.9814453125,Rural
2280007,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,9032.9814453125,Rural
2280008,Koulikoro,Bambara/Malinké,NON,OUI,"AUTRE, SPECIFIER",machine à coutture,"AUTRE, SPECIFIER",couture,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,AU MEME RYTHME,NON,,,Koulikoro,Rural,Pauvres,13166.689453125,Rural
2280009,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,9032.9814453125,Rural
2300004,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,6028.1025390625,Rural
2300005,Koulikoro,Bambara/Malinké,NON,OUI,COVID-19,,SERVICES PERSONNELS,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Pauvres,8786.70703125,Rural
2300006,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,6028.1025390625,Rural
2300009,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Rural,Non Pauvres,6028.1025390625,Rural
2300011,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,6028.1025390625,Rural
2310004,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3716.657470703125,Rural
2310006,Koulikoro,Français,NON,OUI,COVID-19,,COMMERCE,,,,,,,NON,OUI,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3716.657470703125,Rural
2310010,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3716.657470703125,Rural
2310011,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3716.657470703125,Rural
2320003,Koulikoro,Bambara/Malinké,NON,OUI,COVID-19,,SERVICES PERSONNELS,,,,,,,NON,OUI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,9513.615234375,Rural
2320004,Koulikoro,Français,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,9513.615234375,Rural
2320010,Koulikoro,Français,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,NE PEUT SE DEPLACER / TRANSPORTER LES PRODUITS,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Rural,Non Pauvres,9513.615234375,Rural
2320012,Koulikoro,Bambara/Malinké,NON,OUI,COVID-19,,COMMERCE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Rural,Non Pauvres,9513.615234375,Rural
2350002,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,7990.9970703125,Rural
2350008,Koulikoro,Bambara/Malinké,NON,OUI,ACTIVITE A l'ARRET(ENTREPRISE ou ADMINISTRATION),,EDUCATION,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,7990.9970703125,Rural
2350011,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,7990.9970703125,Rural
2390003,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3933.12646484375,Rural
2390005,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,3933.12646484375,Rural
2390006,Koulikoro,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Rural,Pauvres,5733.0185546875,Rural
2390007,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,AUCUN CLIENT,,OUI,NON,"AUTRE, SPECIFIER",pas de difficulté,NON,,,NON,,,Koulikoro,Rural,Pauvres,5733.0185546875,Rural
2440002,Koulikoro,Bambara/Malinké,NON,OUI,COVID-19,,CONSTRUCTION,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440003,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,AUGMENTE,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440004,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440005,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440007,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440009,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2440012,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,492.4371643066406,Autres_urbains
2460001,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,RESTE LES MEMES,AU MEME RYTHME,NON,,,Koulikoro,Rural,Non Pauvres,1926.20458984375,Rural
2460009,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,1926.20458984375,Rural
2460012,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Rural,Non Pauvres,1926.20458984375,Rural
2480001,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE DE L'ETABLISSEMENT POUR CAUSE DE CORONAVIRUS,,NON,,,,OUI,BAISSE,AU MEME RYTHME,NON,,,Koulikoro,Urbain,Non Pauvres,315.1597900390625,Autres_urbains
2480002,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,315.1597900390625,Autres_urbains
2480007,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,315.1597900390625,Autres_urbains
2490003,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,563.840576171875,Autres_urbains
2490011,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE DE L'ETABLISSEMENT POUR CAUSE DE CORONAVIRUS,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,563.840576171875,Autres_urbains
2520002,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520003,Koulikoro,Français,NON,OUI,"AUTRE, SPECIFIER",enseignant,EDUCATION,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520005,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520006,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520008,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520009,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2520012,Koulikoro,Bambara/Malinké,NON,OUI,MALADIE,,"AUTRE, SPECIFIER",militaire,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,RESTE LES MEMES,AU MEME RYTHME,NON,,,Koulikoro,Urbain,Non Pauvres,337.3194885253906,Autres_urbains
2570007,Koulikoro,Bambara/Malinké,OUI,,,,,,Dans une entreprise familiale ou gérée par un membre du ménage,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NE SAIT PAS,,,NON,,,Koulikoro,Urbain,Non Pauvres,566.30279541015625,Autres_urbains
2570011,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,AUGMENTE,AU MEME RYTHME,NON,,,Koulikoro,Urbain,Non Pauvres,566.30279541015625,Autres_urbains
2580003,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1061.2021484375,Autres_urbains
2580007,Koulikoro,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1061.2021484375,Autres_urbains
2580011,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Koulikoro,Urbain,Non Pauvres,1061.2021484375,Autres_urbains
2580012,Koulikoro,Bambara/Malinké,NON,OUI,ABSENT TEMPORAIREMENT,,COMMERCE,,,,,,,NON,OUI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1061.2021484375,Autres_urbains
2610001,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1083.36181640625,Autres_urbains
2610004,Koulikoro,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1083.36181640625,Autres_urbains
2610008,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1083.36181640625,Autres_urbains
2610009,Koulikoro,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Koulikoro,Urbain,Non Pauvres,1083.36181640625,Autres_urbains
